custom_id,token_count,question,answer,output
0a995998,320,How many items of clothing do I need to pick up or return from a store?,3,2
b5ef892d,247,How many days did I spend on camping trips in the United States this year?,8 days.,2
e831120c,234,How many weeks did it take me to watch all the Marvel Cinematic Universe movies and the main Star Wars films?,3.5 weeks,2
3a704032,213,How many plants did I acquire in the last month?,3,2
aae3761f,331,How many hours in total did I spend driving to my three road trip destinations combined?,15 hours for getting to the three destinations (or 30 hours for the round trip),4 + 5 + 6 = 15
gpt4_f2262a51,506,How many different doctors did I visit?,"I visited three different doctors: a primary care physician, an ENT specialist, and a dermatologist.",4
dd2973ad,244,What time did I go to bed on the day before I had a doctor's appointment?,2 AM,2 AM
c4a1ceb8,435,How many different types of citrus fruits have I used in my cocktail recipes?,3,2
gpt4_a56e767c,740,How many movie festivals that I attended?,I attended four movie festivals.,2
6cb6f249,244,How many days did I take social media breaks in total?,17 days,2
46a3abf7,373,"How many tanks do I currently have, including the one I set up for my friend's kid?",3,2
36b9f61e,359,What is the total amount I spent on luxury items in the past few months?,"$2,500","$800 + $1,200 = $2,000"
28dc39ac,445,How many hours have I spent playing games in total?,140 hours,70 + 5 + 30 + 10 + 25 = 140
gpt4_2f8be40d,406,How many weddings have I attended in this year?,"I attended three weddings. The couples were Rachel and Mike, Emily and Sarah, and Jen and Tom.",2
2e6d26dc,445,How many babies were born to friends and family members in the last few months?,5,4
gpt4_15e38248,574,"How many pieces of furniture did I buy, assemble, sell, or fix in the past few months?",4,4
88432d0a,446,How many times did I bake something in the past two weeks?,4,4
80ec1f4f,200,How many different museums or galleries did I visit in the month of February?,2,2
d23cf73b,424,How many different cuisines have I learned to cook or tried out in the past few months?,4,4
gpt4_7fce9456,631,How many properties did I view before making an offer on the townhouse in the Brookside neighborhood?,"I viewed four properties before making an offer on the townhouse in the Brookside neighborhood. The reasons I didn't make an offer on them were: the kitchen of the bungalow needed serious renovation, the property in Cedar Creek was out of my budget, the noise from the highway was a deal-breaker for the 1-bedroom condo, and my offer on the 2-bedroom condo was rejected due to a higher bid.",2
