custom_id,token_count,question,answer,output,llm_judge_output
0a995998,100,How many items of clothing do I need to pick up or return from a store?,3,2,false
b5ef892d,100,How many days did I spend on camping trips in the United States this year?,8 days.,2,false
e831120c,100,How many weeks did it take me to watch all the Marvel Cinematic Universe movies and the main Star Wars films?,3.5 weeks,2,false
3a704032,100,How many plants did I acquire in the last month?,3,2,false
aae3761f,100,How many hours in total did I spend driving to my three road trip destinations combined?,15 hours for getting to the three destinations (or 30 hours for the round trip),4 + 5 + 6 = 15,false
gpt4_f2262a51,100,How many different doctors did I visit?,"I visited three different doctors: a primary care physician, an ENT specialist, and a dermatologist.",4,false
dd2973ad,100,What time did I go to bed on the day before I had a doctor's appointment?,2 AM,2 AM,false
c4a1ceb8,100,How many different types of citrus fruits have I used in my cocktail recipes?,3,2,false
gpt4_a56e767c,100,How many movie festivals that I attended?,I attended four movie festivals.,2,false
6cb6f249,100,How many days did I take social media breaks in total?,17 days,2,false
46a3abf7,100,"How many tanks do I currently have, including the one I set up for my friend's kid?",3,2,false
36b9f61e,100,What is the total amount I spent on luxury items in the past few months?,"$2,500","$800 + $1,200 = $2,000",false
28dc39ac,100,How many hours have I spent playing games in total?,140 hours,70 + 5 + 30 + 10 + 25 = 140,true
gpt4_2f8be40d,100,How many weddings have I attended in this year?,"I attended three weddings. The couples were Rachel and Mike, Emily and Sarah, and Jen and Tom.",2,false
2e6d26dc,100,How many babies were born to friends and family members in the last few months?,5,4,false
gpt4_15e38248,100,"How many pieces of furniture did I buy, assemble, sell, or fix in the past few months?",4,4,false
88432d0a,100,How many times did I bake something in the past two weeks?,4,4,true
80ec1f4f,100,How many different museums or galleries did I visit in the month of February?,2,2,true
d23cf73b,100,How many different cuisines have I learned to cook or tried out in the past few months?,4,4,true
gpt4_7fce9456,100,How many properties did I view before making an offer on the townhouse in the Brookside neighborhood?,"I viewed four properties before making an offer on the townhouse in the Brookside neighborhood. The reasons I didn't make an offer on them were: the kitchen of the bungalow needed serious renovation, the property in Cedar Creek was out of my budget, the noise from the highway was a deal-breaker for the 1-bedroom condo, and my offer on the 2-bedroom condo was rejected due to a higher bid.",2,false
d682f1a2,100,How many different types of food delivery services have I used recently?,3,3,true
gpt4_5501fe77,100,Which social media platform did I gain the most followers on over the past month?,TikTok,Twitter.,false
gpt4_2ba83207,100,Which grocery store did I spend the most money at in the past month?,Thrive Market,Walmart,false
2318644b,100,How much more did I spend on accommodations per night in Hawaii compared to Tokyo?,$270,$270 ($300 - $30),false
2ce6a0f2,100,How many different art-related events did I attend in the past month?,4,4,true
gpt4_d12ceb0e,100,"What is the average age of me, my parents, and my grandparents?",59.6,"Your grandma is 75, your grandpa is 78, and you are 32. 

Average age = (32 + 55 + 58 + 75 + 78) / 5
= 278 / 5
= 55.6",false
00ca467f,100,How many doctor's appointments did I go to in March?,2,2,true
b3c15d39,100,How many days did it take for me to receive the new remote shutter release after I ordered it?,5 days. 6 days (including the last day) is also acceptable.,5 days.,true
gpt4_31ff4165,100,How many health-related devices do I use in a day?,4,2,false
eeda8a6d,100,How many fish are there in total in both of my aquariums?,17,15,false
2788b940,100,How many fitness classes do I attend in a typical week?,4,4,true
60bf93ed,100,How many days did it take for my laptop backpack to arrive after I bought it?,5 days. 6 days (including the last day) is also acceptable.,4 days.,false
9d25d4e0,100,How many pieces of jewelry did I acquire in the last two months?,3,2,false
129d1232,100,How much money did I raise in total through all the charity events I participated in?,"$5,850","$1,850 ($250 + $600 + $5,000)",false
60472f9c,100,"How many projects have I been working on simultaneously, excluding my thesis?",2,2,true
gpt4_194be4b3,100,How many musical instruments do I currently own?,"I currently own 4 musical instruments. I've had the Fender Stratocaster electric guitar for 5 years, the Yamaha FG800 acoustic guitar for 8 years, the 5-piece Pearl Export drum set for an unspecified amount of time, and the Korg B1 piano for 3 years.",2,false
d851d5ba,100,How much money did I raise for charity in total?,"$3,750","$2,750",false
5a7937c8,100,How many days did I spend participating in faith-related activities in December?,3 days.,2,false
gpt4_ab202e7f,100,How many kitchen items did I replace or fix?,"I replaced or fixed five items: the kitchen faucet, the kitchen mat, the toaster, the coffee maker, and the kitchen shelves.",4,false
gpt4_e05b82a6,100,How many times did I ride rollercoasters across all the events I attended from July to October?,10 times,4,false
